jiscode,自治体,住所,緯度,経度,人口
6210,天童市,天童市老野森1-1-1,38.362177,140.377802,62140 
6211,東根市,東根市中央1-1-1,38.431292,140.391021,47682 
6212,尾花沢市,尾花沢市若葉町1-2-3,38.60062,140.405693,14971 
6213,南陽市,南陽市三間通436-1,38.055116,140.148309,30420 
6301,山辺町,東村山郡山辺町緑ヶ丘5,38.289217,140.26218,13725 
6302,中山町,東村山郡中山町長崎120,38.333122,140.283051,10746 
6321,河北町,西村山郡河北町谷地戊81,38.426632,140.31459,17641 
6322,西川町,西村山郡西川町大字海味510,38.426487,140.147661,4956 
6323,朝日町,西村山郡朝日町大字宮宿1115,38.299293,140.145924,6366 
6324,大江町,西村山郡大江町大字左沢882-1,38.380713,140.206793,7646 
6341,大石田町,北村山郡大石田町緑町1,38.593877,140.372647,6577 
6361,金山町,最上郡金山町大字金山324-1,38.88344,140.339367,5071 
6362,最上町,最上郡最上町向町644,38.758467,140.519359,8080 
6363,舟形町,最上郡舟形町舟形263,38.691417,140.319988,5007 
6364,真室川町,最上郡真室川町大字新町124番4,38.856918,140.251564,7203 
6365,大蔵村,最上郡大蔵村大字清水2528,38.704121,140.230368,3028 
6366,鮭川村,最上郡鮭川村大字佐渡2003-7,38.796455,140.222007,3902 
6367,戸沢村,最上郡戸沢村大字古口270,38.737601,140.143569,4199 
6381,高畠町,東置賜郡高畠町大字高畠436,38.002745,140.189113,22463 
6382,川西町,東置賜郡川西町大字上小松977番地1,38.005203,140.053181,14558 
6401,小国町,西置賜郡小国町大字小国小坂町2-70,38.061391,139.743333,7107 
6402,白鷹町,西置賜郡白鷹町大字荒砥甲833,38.183069,140.098571,12890 
6403,飯豊町,西置賜郡飯豊町大字椿2888,38.045714,139.987617,6613 
6426,三川町,東田川郡三川町大字横山字西田85,38.794529,139.849612,7601 
6428,庄内町,東田川郡庄内町余目字町132-1,38.849558,139.904036,20151 
6461,遊佐町,飽海郡遊佐町遊佐字舞鶴202番地,39.014836,139.908662,13032 
7201,福島市,福島市五老内町3-1,37.76083,140.474747,282693 
7202,会津若松市,会津若松市東栄町3-46,37.494842,139.929707,117376 
7203,郡山市,郡山市朝日1-23-7,37.400455,140.35965,327692 
7204,いわき市,いわき市平字梅本21,37.050456,140.887687,332931 
7205,白河市,白河市八幡小路7-1,37.126379,140.210923,59491 
7207,須賀川市,須賀川市八幡町135,37.286504,140.372655,74992 
7208,喜多方市,喜多方市字御清水東7244-2,37.651134,139.874484,44760 
7209,相馬市,相馬市中村字北町63-3,37.797353,140.918937,34865 
7210,二本松市,二本松市金色403-1,37.584783,140.431199,53557 
7211,田村市,田村市船引町船引字畑添76-2,37.440621,140.57631,35169 
7212,南相馬市,南相馬市原町区本町2-27,37.642197,140.957237,59005 
7213,伊達市,伊達市保原町字舟橋180,37.819095,140.562894,58240 
7214,本宮市,本宮市本宮字万世212,37.513162,140.393877,30236 
